,Day,Date,Holiday Name,Type,Comments
0,Friday,Jan 01,New Year's Day,Regional Holiday,Several states
1,Saturday,Jan 02,New Year Celebration,Regional Holiday,Several states
2,Monday,Jan 04,Barahimizong,Regional Holiday,Sikkim
3,Monday,Jan 11,Missionary Day,Regional Holiday,Mizoram
4,Tuesday,Jan 12,Birthday of Swami Vivekananda,Regional Holiday,West Bengal only.
5,Wednesday,Jan 13,Bhogi,Regional Holiday,Some states
6,Wednesday,Jan 13,Makara Sankranti,Government Holiday,Some states
7,Thursday,Jan 14,Pongal,Regional Holiday,
8,Thursday,Jan 14,Sankranti,Regional Holiday,Several states
9,Friday,Jan 15,Tusu Puja,Regional Holiday,Assam only
10,Friday,Jan 15,Thiruvalluvar Day,Regional Holiday,"Puducherry, Tamil Nadu"
11,Friday,Jan 15,Kanuma,Government Holiday,Andhra Pradesh only
12,Saturday,Jan 16,Uzhavar Tirunal,Regional Holiday,Tamil Nadu
13,Wednesday,Jan 20,Guru Gobind Singh Jayanti,Regional Holiday,
14,Saturday,Jan 23,Netaji Subhas Chandra Bose Jayanti,Regional Holiday,"Assam, Odisha, Tripura, West Bengal"
15,Monday,Jan 25,Statehood Day,Regional Holiday,Himachal Pradesh only
16,Monday,Jan 25,Imoinu Iratpa,Regional Holiday,Manipur
17,Tuesday,Jan 26,Republic Day,Public Holiday,
18,Tuesday,Jan 26,Gann-Ngai,Regional Holiday,Manipur
19,Thursday,Jan 28,Thaipoosam,Regional Holiday,Several states
20,Sunday,Jan 31,Me-dam-me-phi,Regional Holiday,Assam
21,Friday,Feb 12,Sonam Lhosar,Regional Holiday,
22,Friday,Feb 12,Losar,Regional Holiday,Tibetan New Year
23,Monday,Feb 15,Lui-Ngai-Ni,Regional Holiday,Manipur
24,Tuesday,Feb 16,Vasant Panchami,Regional Holiday,Several states
25,Friday,Feb 19,Chahhtrapati Shivaji Maharaj Jayanti,Regional Holiday,Maharashtra only
26,Saturday,Feb 20,Mizoram State Day,Regional Holiday,Mizoram
27,Saturday,Feb 20,Statehood Day,Regional Holiday,Arunachal Pradesh
28,Friday,Feb 26,Imam Ali's Birthday,Regional Holiday,Uttar Pradesh only
29,Saturday,Feb 27,Bir Chilarai Divas,Regional Holiday,Assam
30,Saturday,Feb 27,Bhumchu Festival,Regional Holiday,Sikkim
31,Saturday,Feb 27,Guru Ravidas Jayanti,Regional Holiday,Several states. Full moon of Magh
32,Friday,Mar 05,Chapchar Kut,Regional Holiday,Mizoram
33,Friday,Mar 05,Panchayati Raj Diwas,Regional Holiday,Odisha
34,Monday,Mar 08,International Women's Day,Not A Public Holiday,Telangana. Holiday for female employees
35,Thursday,Mar 11,Shab-I-Miraj,Regional Holiday,The Prophet's Ascension
36,Thursday,Mar 11,Maha Shivratri,Regional Holiday,Most states
37,Sunday,Mar 21,Nauroz,Regional Holiday,
38,Monday,Mar 22,Bihar Divas,Regional Holiday,Bihar Only
39,Tuesday,Mar 23,"Shaheedi Diwas of Bhagat Singh, Rajguru and Sukhdev",Regional Holiday,Haryana
40,Sunday,Mar 28,Holi Dahan,Regional Holiday,Day before Holi
41,Sunday,Mar 28,Doljatra,Regional Holiday,
42,Monday,Mar 29,Shab e-Barat,Government Holiday,15 Sha'aban
43,Monday,Mar 29,Shab e-Barat,Regional Holiday,15 Sha'aban
44,Monday,Mar 29,Holi,Regional Holiday,
45,Monday,Mar 29,Yaosang 2nd Day,Regional Holiday,Manipur
46,Monday,Mar 29,Holi,Government Holiday,
47,Tuesday,Mar 30,Holi Holiday,Regional Holiday,
